smiles,RS_as_01
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)[C@H](C(C)C)C(O)=O,0
CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)[C@@H](C(C)C)C(O)=O,1
CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,1
CN1CCN(CC1)C(=O)O[C@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,0
CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,0
CCN[C@@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,1
NC(=O)N(O)[C@@H]1COC2=C1C=CC(OCC1=CC=CC=C1)=C2,1
NC(=O)N(O)[C@H]1COC2=C1C=CC(OCC1=CC=CC=C1)=C2,0
CN(C)CCC1=CNC2=C1C=C(C[C@H]1COC(=O)N1)C=C2,1
CN(C)CCC1=CNC2=C1C=C(C[C@@H]1COC(=O)N1)C=C2,0
COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1,0
COC1=C(OC)C(=CC=C1)[C@@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1,1
CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1,1
CC(C)OC(=O)N[C@H](C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1,0
CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O,0
CCCCCC[C@H](O)C\C=C/CCCCCCCC(O)=O,1
CCCCCC[C@@H](O)C\C=C/CCCCCCCC(=O)OC,0
CCCCCC[C@H](O)C\C=C/CCCCCCCC(=O)OC,1
C[C@H](CCO)CCCC(C)=C,1
C[C@@H](CCO)CCCC(C)=C,0
C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,0
C[C@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,1
CN1CCC[C@@H]1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12,0
CN1CCC[C@H]1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12,1
CC1=C(CCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCC[C@@H](O)C2=N1,0
CC1=C(CCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCC[C@H](O)C2=N1,1
NC1=NC(=O)N(C=C1)C1CO[C@H](CO)O1,1
NC1=NC(=O)N(C=C1)C1CO[C@@H](CO)O1,0
NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1,1
NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)C=NC2=N1,0
CC(C)C[C@H](CN)CC(O)=O,1
CC(C)C[C@@H](CN)CC(O)=O,0
N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,1
N[C@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,0
COC(=O)CC[C@H](N)C(O)=O,1
COC(=O)CC[C@@H](N)C(O)=O,0
FC1=C(C=CC=C1)C1=N[C@H](NC(=O)C2=CC3=CC=CC=C3N2)C(=O)N2CCC3=CC=CC1=C23,1
FC1=C(C=CC=C1)C1=N[C@@H](NC(=O)C2=CC3=CC=CC=C3N2)C(=O)N2CCC3=CC=CC1=C23,0
C[C@@H](OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,0
C[C@H](OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,1
N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O,0
N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,1
FC(F)(F)[C@]1(OC(=O)NC2=CC=C(Cl)C=C12)C#CC1CC1,1
FC(F)(F)[C@@]1(OC(=O)NC2=CC=C(Cl)C=C12)C#CC1CC1,0
CC1(C)CO[C@@H](CC(O)=O)CN1,1
CC1(C)CO[C@H](CC(O)=O)CN1,0
CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1,1
CSC1=N[C@@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1,0
CC1(C)CCC(CC1)NC(=O)[C@@H](N)CCC(O)=O,1
CC1(C)CCC(CC1)NC(=O)[C@H](N)CCC(O)=O,0
COC[C@H](C)N(C(=O)CCl)C1=C(C)SC=C1C,1
COC[C@@H](C)N(C(=O)CCl)C1=C(C)SC=C1C,0
C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O,0
C[C@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O,1
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,1
CC(=O)NC[C@@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,0
FC1=C(C=CC=C1)C1=N[C@@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C(=O)N2CCC3=C2C1=CC=C3,0
FC1=C(C=CC=C1)C1=N[C@H](NC(=O)C2=CC3=C(N2)C=CC=C3)C(=O)N2CCC3=C2C1=CC=C3,1
CN1CC2=C(N[C@@H](CC(O)=O)C1=O)C=CC(=C2)C(=O)N1CCC(CC1)C1CCNCC1,1
CN1CC2=C(N[C@H](CC(O)=O)C1=O)C=CC(=C2)C(=O)N1CCC(CC1)C1CCNCC1,0
COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1,1
COC1=CC(OC)=NC(O[C@@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1,0
C[C@@H](CC1=CC=CC=C1)N(C)C,1
C[C@H](CC1=CC=CC=C1)N(C)C,0
COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,1
COC(=O)N(C(=O)N1CO[C@@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,0
COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,0
COC[C@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,1
COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,1
COC([C@@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,0
N[C@H](CC(O)=O)C(O)=O,0
N[C@@H](CC(O)=O)C(O)=O,1
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,1
C[C@@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,0
CC(=C)[C@H]1CCC(C=O)=CC1,1
CC(=C)[C@@H]1CCC(C=O)=CC1,0
CCCCCC[C@@H](CCC)C(O)=O,0
CCCCCC[C@H](CCC)C(O)=O,1
ClC1=CC(Cl)=C(C=C1)[C@@H]1CS\C(S1)=C(\C#N)N1C=CN=C1,0
ClC1=CC(Cl)=C(C=C1)[C@H]1CS\C(S1)=C(\C#N)N1C=CN=C1,1
CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,1
CC1=C(CCOC2=CC=C(C[C@@H](NC3=C(C=CC=C3)C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,0
CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,0
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,1
CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1,1
CC(C)[C@@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1,0
COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O,1
COC1=CC2=CC=C(C=C2C=C1)[C@@H](C)C(O)=O,0
CC(=C)[C@H]1CC=C(C)C(=O)C1,1
CC(=C)[C@@H]1CC=C(C)C(=O)C1,0
CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,1
